"drug1","drug2","type"
"ATORVASTATIN CALCIUM","INDINAVIR SULFATE","SIGNIFICANT"
"ATORVASTATIN CALCIUM","NIACIN","SIGNIFICANT"
"ATORVASTATIN CALCIUM","NIACINAMIDE","SIGNIFICANT"
"ATORVASTATIN CALCIUM","RIFAMPIN","SIGNIFICANT"
"ATORVASTATIN CALCIUM","RITONAVIR","SIGNIFICANT"
"ATORVASTATIN CALCIUM","SAQUINAVIR","SIGNIFICANT"
"ATORVASTATIN CALCIUM","TELITHROMYCIN","SIGNIFICANT"
"ATORVASTATIN CALCIUM","VERAPAMIL","SIGNIFICANT"
"ATOVAQUONE","ZIDOVUDINE","SIGNIFICANT"
"ATRACURIUM","GENTAMICIN","SIGNIFICANT"
"ATRACURIUM","KANAMYCIN","SIGNIFICANT"
"ATRACURIUM","NEOMYCIN","SIGNIFICANT"
"ATRACURIUM","NETILMICIN","SIGNIFICANT"
"ATRACURIUM","STREPTOMYCIN","SIGNIFICANT"
"ATRACURIUM","TOBRAMYCIN","SIGNIFICANT"
"ATROPINE","CISAPRIDE","SIGNIFICANT"
"AZATHIOPRINE","WARFARIN","SIGNIFICANT"
"AZITHROMYCIN","DOFETILIDE","SIGNIFICANT"
"AZITHROMYCIN","WARFARIN","SIGNIFICANT"
"BENAZEPRIL","BUMETANIDE","SIGNIFICANT"
"BENAZEPRIL","ETHACRYNIC ACID","SIGNIFICANT"
"BENAZEPRIL","FUROSEMIDE","SIGNIFICANT"
"BENAZEPRIL","LITHIUM","SIGNIFICANT"
"BENAZEPRIL","POTASSIUM","SIGNIFICANT"
"BEPRIDIL","RITONAVIR","SIGNIFICANT"
"BETAMETHASONE","EDROPHONIUM","SIGNIFICANT"
"BETAMETHASONE","NEOSTIGMINE","SIGNIFICANT"
"BETAMETHASONE","PYRIDOSTIGMINE","SIGNIFICANT"
"BETAMETHASONE","RIFABUTIN","SIGNIFICANT"
"BETAMETHASONE","RIFAMPIN","SIGNIFICANT"
"BETAMETHASONE","RIFAPENTINE","SIGNIFICANT"
"BETAXOLOL","CLONIDINE","SIGNIFICANT"
"BETAXOLOL","DISOPYRAMIDE","SIGNIFICANT"
"BETAXOLOL","EPINEPHRINE","SIGNIFICANT"
"BEXAROTENE","GEMFIBROZIL","SIGNIFICANT"
"BISMUTH","HEPARIN","SIGNIFICANT"
"BISMUTH","METHOTREXATE","SIGNIFICANT"
"BISOPROLOL FUMARATE","CIMETIDINE","SIGNIFICANT"
"BISOPROLOL FUMARATE","DISOPYRAMIDE","SIGNIFICANT"
"BISOPROLOL FUMARATE","EPINEPHRINE","SIGNIFICANT"
"BOSENTAN","FLUCONAZOLE","SIGNIFICANT"
"BOSENTAN","GLYBURIDE","SIGNIFICANT"
"BOSENTAN","ITRACONAZOLE","SIGNIFICANT"
"BOSENTAN","KETOCONAZOLE","SIGNIFICANT"
"BOSENTAN","SILDENAFIL CITRATE","SIGNIFICANT"
"BOSENTAN","VORICONAZOLE","SIGNIFICANT"
"BOSENTAN","WARFARIN","SIGNIFICANT"
"DOFETILIDE","BRETYLIUM","SIGNIFICANT"
"BRETYLIUM","VARDENAFIL","SIGNIFICANT"
"BRETYLIUM","VARDENAFIL","SIGNIFICANT"
"BROMFENAC SODIUM","LITHIUM","SIGNIFICANT"
"BROMOCRIPTINE","ERYTHROMYCIN","SIGNIFICANT"
"BROMOCRIPTINE","ISOMETHEPTENE MUCATE","SIGNIFICANT"
"BROMOCRIPTINE","PHENYLPROPANOLAMINE","SIGNIFICANT"
"CISAPRIDE","BUMETANIDE","SIGNIFICANT"
"BUMETANIDE","GENTAMICIN","SIGNIFICANT"
"BUMETANIDE","KANAMYCIN","SIGNIFICANT"
"BUMETANIDE","NETILMICIN","SIGNIFICANT"
"BUMETANIDE","STREPTOMYCIN","SIGNIFICANT"
"BUMETANIDE","TOBRAMYCIN","SIGNIFICANT"
"BUPRENORPHINE","CHLORDIAZEPOXIDE","SIGNIFICANT"
"BUPRENORPHINE","CLONAZEPAM","SIGNIFICANT"
"BUPRENORPHINE","DIAZEPAM","SIGNIFICANT"
"BUPRENORPHINE","ERYTHROMYCIN","SIGNIFICANT"
"BUPRENORPHINE","ESTAZOLAM","SIGNIFICANT"
"BUPRENORPHINE","LORAZEPAM","SIGNIFICANT"
"BUPRENORPHINE","MIDAZOLAM","SIGNIFICANT"
"BUPRENORPHINE","OXAZEPAM","SIGNIFICANT"
"BUPRENORPHINE","RITONAVIR","SIGNIFICANT"
"RITONAVIR","BUPRENORPHINE","SIGNIFICANT"
"BUPRENORPHINE","TEMAZEPAM","SIGNIFICANT"
"BUPROPION","CARBAMAZEPINE","SIGNIFICANT"
"BUPROPION","CIMETIDINE","SIGNIFICANT"
"BUPROPION","LEVODOPA","SIGNIFICANT"
"BUPROPION","RISPERIDONE","SIGNIFICANT"
"BUSPIRONE","DILTIAZEM","SIGNIFICANT"
"BUSPIRONE","ERYTHROMYCIN","SIGNIFICANT"
"BUSPIRONE","GRAPEFRUIT EXTRACT","SIGNIFICANT"
"BUSPIRONE","ITRACONAZOLE","SIGNIFICANT"
"BUSPIRONE","NEFAZODONE","SIGNIFICANT"
"BUSPIRONE","RIFABUTIN","SIGNIFICANT"
"BUSPIRONE","RIFAMPIN","SIGNIFICANT"
"BUSPIRONE","RIFAPENTINE","SIGNIFICANT"
"VERAPAMIL","BUSPIRONE","SIGNIFICANT"
"BUTABARBITAL","DICUMAROL","SIGNIFICANT"
"BUTABARBITAL","ESTRADIOL","SIGNIFICANT"
"BUTABARBITAL","ETHINYL ESTRADIOL","SIGNIFICANT"
"BUTALBITAL","DICUMAROL","SIGNIFICANT"
"BUTALBITAL","HYPERICUM PERFORATUM (ST. JOHN'S WORT)","SIGNIFICANT"
"BUTALBITAL","WARFARIN","SIGNIFICANT"
"CALCIUM","CIPROFLOXACIN","SIGNIFICANT"
"CALCIUM","DEMECLOCYCLINE","SIGNIFICANT"
"CALCIUM","DOXYCYCLINE","SIGNIFICANT"
"CALCIUM","ENOXACIN","SIGNIFICANT"
"CALCIUM","GATIFLOXACIN","SIGNIFICANT"
"CALCIUM","LEVOFLOXACIN","SIGNIFICANT"
"CALCIUM","LOMEFLOXACIN","SIGNIFICANT"
"CALCIUM","MOXIFLOXACIN","SIGNIFICANT"
"CALCIUM","TETRACYCLINE","SIGNIFICANT"
"CALCIUM","ZALCITABINE (DIDEOXYCYTIDINE,ddC)","SIGNIFICANT"
"CANDESARTAN","INDOMETHACIN","SIGNIFICANT"
"CANDESARTAN","LITHIUM","SIGNIFICANT"
"CANDESARTAN","POTASSIUM","SIGNIFICANT"
"CANDESARTAN","SPIRONOLACTONE","SIGNIFICANT"
"CANDESARTAN","TRIAMTERENE","SIGNIFICANT"
"CAPECITABINE","FOSPHENYTOIN SODIUM","SIGNIFICANT"
"CAPECITABINE","LEUCOVORIN","SIGNIFICANT"
"CAPECITABINE","PHENYTOIN","SIGNIFICANT"
"CAPTOPRIL","LITHIUM","SIGNIFICANT"
"LITHIUM","CAPTOPRIL","SIGNIFICANT"
"CAPTOPRIL","POTASSIUM","SIGNIFICANT"
"CARBAMAZEPINE","CLARITHROMYCIN","SIGNIFICANT"
"CARBAMAZEPINE","CLOMIPRAMINE","SIGNIFICANT"
"CARBAMAZEPINE","CLOZAPINE","SIGNIFICANT"
"CARBAMAZEPINE","DANAZOL","SIGNIFICANT"
"CARBAMAZEPINE","DARUNAVIR","SIGNIFICANT"
"CARBAMAZEPINE","DESIPRAMINE","SIGNIFICANT"
"CARBAMAZEPINE","DILTIAZEM","SIGNIFICANT"
"CARBAMAZEPINE","DOXEPIN","SIGNIFICANT"
"CARBAMAZEPINE","EFAVIRENZ","SIGNIFICANT"
"CARBAMAZEPINE","ERLOTINIB","SIGNIFICANT"
"CARBAMAZEPINE","ERYTHROMYCIN","SIGNIFICANT"
"CARBAMAZEPINE","ETHINYL ESTRADIOL","SIGNIFICANT"
"CARBAMAZEPINE","FELBAMATE","SIGNIFICANT"
"CARBAMAZEPINE","FELODIPINE","SIGNIFICANT"
"CARBAMAZEPINE","FENTANYL","SIGNIFICANT"
"CARBAMAZEPINE","FLUCONAZOLE","SIGNIFICANT"
"GRAPEFRUIT EXTRACT","CARBAMAZEPINE","SIGNIFICANT"
"CARBAMAZEPINE","IMIPRAMINE","SIGNIFICANT"
"CARBAMAZEPINE","INDINAVIR SULFATE","SIGNIFICANT"
"CARBAMAZEPINE","ITRACONAZOLE","SIGNIFICANT"
"CARBAMAZEPINE","KETOCONAZOLE","SIGNIFICANT"
"CARBAMAZEPINE","LAMOTRIGINE","SIGNIFICANT"
"CARBAMAZEPINE","LEVONORGESTREL","SIGNIFICANT"
"CARBAMAZEPINE","METHADONE","SIGNIFICANT"
"CARBAMAZEPINE","METRONIDAZOLE","SIGNIFICANT"
"METRONIDAZOLE","CARBAMAZEPINE","SIGNIFICANT"
"CARBAMAZEPINE","NEFAZODONE","SIGNIFICANT"
"CARBAMAZEPINE","NELFINAVIR MESYLATE","SIGNIFICANT"
"CARBAMAZEPINE","NORTRIPTYLINE","SIGNIFICANT"
"CARBAMAZEPINE","OLEANDOMYCIN (AS TROLEANDOMYCIN)","SIGNIFICANT"
"OMEPRAZOLE","CARBAMAZEPINE","SIGNIFICANT"
"CARBAMAZEPINE","PROPOXYPHENE","SIGNIFICANT"
"CARBAMAZEPINE","PROTRIPTYLINE","SIGNIFICANT"
"CARBAMAZEPINE","RISPERIDONE","SIGNIFICANT"
"CARBAMAZEPINE","SUNITINIB","SIGNIFICANT"
"CARBAMAZEPINE","TICLOPIDINE","SIGNIFICANT"
"CARBAMAZEPINE","TRIMIPRAMINE","SIGNIFICANT"
"CARBAMAZEPINE","VERAPAMIL","SIGNIFICANT"
"CARBAMAZEPINE","ZIPRASIDONE","SIGNIFICANT"
"CARTEOLOL","CLONIDINE","SIGNIFICANT"
"CARTEOLOL","EPINEPHRINE","SIGNIFICANT"
"CARVEDILOL","DIGITALIS","SIGNIFICANT"
"CARVEDILOL","DILTIAZEM","SIGNIFICANT"
"CARVEDILOL","DISOPYRAMIDE","SIGNIFICANT"
"CASPOFUNGIN","CYCLOSPORINE","SIGNIFICANT"
"CASPOFUNGIN","TACROLIMUS","SIGNIFICANT"
"CEFPODOXIME PROXETIL","CIMETIDINE","SIGNIFICANT"
"CEFPODOXIME PROXETIL","ESOMEPRAZOLE","SIGNIFICANT"
"CEFPODOXIME PROXETIL","FAMOTIDINE","SIGNIFICANT"
"CEFPODOXIME PROXETIL","LANSOPRAZOLE","SIGNIFICANT"
"CEFPODOXIME PROXETIL","OMEPRAZOLE","SIGNIFICANT"
"CEFPODOXIME PROXETIL","RABEPRAZOLE NA","SIGNIFICANT"
"CEFPODOXIME PROXETIL","RANITIDINE","SIGNIFICANT"
"CEFUROXIME","ESOMEPRAZOLE","SIGNIFICANT"
"CEFUROXIME","LANSOPRAZOLE","SIGNIFICANT"
"CEFUROXIME","OMEPRAZOLE","SIGNIFICANT"
"CEFUROXIME","PANTOPRAZOLE","SIGNIFICANT"
"CEFUROXIME","RABEPRAZOLE NA","SIGNIFICANT"
"CELECOXIB","ETODOLAC","SIGNIFICANT"
"CELECOXIB","FLUCONAZOLE","SIGNIFICANT"
"CELECOXIB","FLUVOXAMINE MALEATE","SIGNIFICANT"
"CELECOXIB","LITHIUM","SIGNIFICANT"
"METHOTREXATE","CELECOXIB","SIGNIFICANT"
"CELECOXIB","WARFARIN","SIGNIFICANT"
"CERIVASTATIN SODIUM","FOSAMPRENAVIR","SIGNIFICANT"
"CERIVASTATIN SODIUM","GEMFIBROZIL","SIGNIFICANT"
"GRAPEFRUIT EXTRACT","CERIVASTATIN SODIUM","SIGNIFICANT"
"CERIVASTATIN SODIUM","INDINAVIR SULFATE","SIGNIFICANT"
"CERIVASTATIN SODIUM","ITRACONAZOLE","SIGNIFICANT"
"CERIVASTATIN SODIUM","NELFINAVIR MESYLATE","SIGNIFICANT"
"CERIVASTATIN SODIUM","NIACIN","SIGNIFICANT"
"CERIVASTATIN SODIUM","RITONAVIR","SIGNIFICANT"
"CERIVASTATIN SODIUM","SAQUINAVIR","SIGNIFICANT"
"CHAMOMILE FLOWERS","WARFARIN","SIGNIFICANT"
"CHLORAL HYDRATE","ERYTHROMYCIN","SIGNIFICANT"
"CHLORAMPHENICOL","FOSPHENYTOIN SODIUM","SIGNIFICANT"
"CHLORAMPHENICOL","PHENYTOIN","SIGNIFICANT"
"CHLORDIAZEPOXIDE","CLOZAPINE","SIGNIFICANT"
"CHLORDIAZEPOXIDE","RITONAVIR","SIGNIFICANT"
"CHLOROQUINE","CIMETIDINE","SIGNIFICANT"
"CHLOROQUINE","CYCLOSPORINE","SIGNIFICANT"
"CHLOROQUINE","PRAZIQUANTEL","SIGNIFICANT"
"CHLOROTHIAZIDE","CISAPRIDE","SIGNIFICANT"
"CHLORPROMAZINE","ERYTHROMYCIN","SIGNIFICANT"
"CHLORPROMAZINE","MEPERIDINE","SIGNIFICANT"
"CHLORPROPAMIDE","RIFAMPIN","SIGNIFICANT"
"CHLORPROPAMIDE","VORICONAZOLE","SIGNIFICANT"
"CHLORZOXAZONE","DISULFIRAM","SIGNIFICANT"
"CHOLESTYRAMINE","DICUMAROL","SIGNIFICANT"
"CHOLESTYRAMINE","DIGITALIS","SIGNIFICANT"
"CHOLESTYRAMINE","MYCOPHENOLATE","SIGNIFICANT"
"CHOLESTYRAMINE","PHENPROCOUMON","SIGNIFICANT"
"CHOLESTYRAMINE","WARFARIN","SIGNIFICANT"
"CHOLINE SALICYLATE","HEPARIN","SIGNIFICANT"
"CILOSTAZOL","CLARITHROMYCIN","SIGNIFICANT"
"CILOSTAZOL","ERYTHROMYCIN","SIGNIFICANT"
"CILOSTAZOL","FLUCONAZOLE","SIGNIFICANT"
"CILOSTAZOL","FLUOXETINE","SIGNIFICANT"
"CILOSTAZOL","FLUVOXAMINE MALEATE","SIGNIFICANT"
"CILOSTAZOL","ITRACONAZOLE","SIGNIFICANT"
"CILOSTAZOL","ITRACONAZOLE","SIGNIFICANT"
"CILOSTAZOL","NEFAZODONE","SIGNIFICANT"
"CILOSTAZOL","OLEANDOMYCIN (AS TROLEANDOMYCIN)","SIGNIFICANT"
"CILOSTAZOL","SERTRALINE","SIGNIFICANT"
"CIMETIDINE","CLOZAPINE","SIGNIFICANT"
"CIMETIDINE","DASATINIB","SIGNIFICANT"
"CIMETIDINE","ENOXACIN","SIGNIFICANT"
"CIMETIDINE","ESTAZOLAM","SIGNIFICANT"
"CIMETIDINE","ITRACONAZOLE","SIGNIFICANT"
"CIMETIDINE","KETOCONAZOLE","SIGNIFICANT"
"MEMANTINE","CIMETIDINE","SIGNIFICANT"
"CIMETIDINE","METOPROLOL","SIGNIFICANT"
"CIMETIDINE","NIFEDIPINE","SIGNIFICANT"
"CIMETIDINE","PROPRANOLOL","SIGNIFICANT"
"CIMETIDINE","QUINIDINE","SIGNIFICANT"
"CIMETIDINE","TACRINE HYDROCHLORIDE","SIGNIFICANT"
"CIMETIDINE","TICLOPIDINE","SIGNIFICANT"
"CIMETIDINE","ZALCITABINE (DIDEOXYCYTIDINE,ddC)","SIGNIFICANT"
"CINACALCET","ERYTHROMYCIN","SIGNIFICANT"
"CINACALCET","FLECAINIDE","SIGNIFICANT"
"CINACALCET","ITRACONAZOLE","SIGNIFICANT"
"CINACALCET","KETOCONAZOLE","SIGNIFICANT"
"CINACALCET","THIORIDAZINE","SIGNIFICANT"
"CINACALCET","VINBLASTINE","SIGNIFICANT"
"CINOXACIN","ZINC","SIGNIFICANT"
"CIPROFLOXACIN","CLOZAPINE","SIGNIFICANT"
"CIPROFLOXACIN","DIDANOSINE","SIGNIFICANT"
"CIPROFLOXACIN","FERROUS FUMARATE","SIGNIFICANT"
"CIPROFLOXACIN","FERROUS GLUCONATE","SIGNIFICANT"
"CIPROFLOXACIN","FERROUS SULFATE","SIGNIFICANT"
"CIPROFLOXACIN","FOSPHENYTOIN SODIUM","SIGNIFICANT"
"CIPROFLOXACIN","GLIPIZIDE","SIGNIFICANT"
"CIPROFLOXACIN","GLYBURIDE","SIGNIFICANT"
"CIPROFLOXACIN","IRON","SIGNIFICANT"
"CIPROFLOXACIN","MAGALDRATE","SIGNIFICANT"
"CIPROFLOXACIN","MAGNESIUM","SIGNIFICANT"
"CIPROFLOXACIN","PHENYTOIN","SIGNIFICANT"
"CIPROFLOXACIN","ROPINIROLE HYDROCHLORIDE","SIGNIFICANT"
"CIPROFLOXACIN","SEVELAMER HCL","SIGNIFICANT"
"CIPROFLOXACIN","SUCRALFATE","SIGNIFICANT"
"CIPROFLOXACIN","TIZANIDINE","SIGNIFICANT"
"CIPROFLOXACIN","WARFARIN","SIGNIFICANT"
"WARFARIN","CIPROFLOXACIN","SIGNIFICANT"
"CIPROFLOXACIN","ZINC","SIGNIFICANT"
"CISAPRIDE","CLOMIPRAMINE","SIGNIFICANT"
"GRAPEFRUIT EXTRACT","CISAPRIDE","SIGNIFICANT"
"MOXIFLOXACIN","CISAPRIDE","SIGNIFICANT"
"CISAPRIDE","QUINUPRISTIN","SIGNIFICANT"
"GENTAMICIN","CISATRACURIUM BESYLATE","SIGNIFICANT"
"CISATRACURIUM BESYLATE","KANAMYCIN","SIGNIFICANT"
"CISATRACURIUM BESYLATE","NEOMYCIN","SIGNIFICANT"
"CISATRACURIUM BESYLATE","NETILMICIN","SIGNIFICANT"
"CISATRACURIUM BESYLATE","STREPTOMYCIN","SIGNIFICANT"
"CISATRACURIUM BESYLATE","TOBRAMYCIN","SIGNIFICANT"
"CITALOPRAM","ELETRIPTAN","SIGNIFICANT"
"CITALOPRAM","FROVATRIPTAN","SIGNIFICANT"
"HYPERICUM PERFORATUM (ST. JOHN'S WORT)","CITALOPRAM","SIGNIFICANT"
"CITALOPRAM","LINEZOLID","SIGNIFICANT"
"CITALOPRAM","NARATRIPTAN HYDROCHLORIDE","SIGNIFICANT"
"CITALOPRAM","RIZATRIPTAN","SIGNIFICANT"
"SUMATRIPTAN","CITALOPRAM","SIGNIFICANT"
"CITALOPRAM","TIZANIDINE","SIGNIFICANT"
"CITALOPRAM","TRAMADOL HYDROCHLORIDE","SIGNIFICANT"
"CITALOPRAM","VENLAFAXINE HYDROCHLORIDE","SIGNIFICANT"
"CITALOPRAM","ZOLMITRIPTAN","SIGNIFICANT"
"CLARITHROMYCIN","DARIFENACIN","SIGNIFICANT"
"CLARITHROMYCIN","DELAVIRDINE MESYLATE","SIGNIFICANT"
"CLARITHROMYCIN","DIAZEPAM","SIGNIFICANT"
"CLARITHROMYCIN","EFAVIRENZ","SIGNIFICANT"
"CLARITHROMYCIN","ERLOTINIB","SIGNIFICANT"
"CLARITHROMYCIN","ESOMEPRAZOLE","SIGNIFICANT"
"CLARITHROMYCIN","ESZOPICLONE","SIGNIFICANT"
"CLARITHROMYCIN","FOSPHENYTOIN SODIUM","SIGNIFICANT"
"CLARITHROMYCIN","GRAPEFRUIT EXTRACT","SIGNIFICANT"
"CLARITHROMYCIN","MIDAZOLAM","SIGNIFICANT"
"CLARITHROMYCIN","PHENYTOIN","SIGNIFICANT"
"CLARITHROMYCIN","REPAGLINIDE","SIGNIFICANT"
"CLARITHROMYCIN","RIFABUTIN","SIGNIFICANT"
"CLARITHROMYCIN","RITONAVIR","SIGNIFICANT"
"RITONAVIR","CLARITHROMYCIN","SIGNIFICANT"
"CLARITHROMYCIN","SUNITINIB","SIGNIFICANT"
"CLARITHROMYCIN","TACROLIMUS","SIGNIFICANT"
"CLARITHROMYCIN","TIPRANAVIR","SIGNIFICANT"
"CLARITHROMYCIN","TRIAZOLAM","SIGNIFICANT"
"CLARITHROMYCIN","VARDENAFIL","SIGNIFICANT"
"CLARITHROMYCIN","VARDENAFIL","SIGNIFICANT"
"CLINDAMYCIN","ERYTHROMYCIN","SIGNIFICANT"
"CLOMIPRAMINE","FLUOXETINE","SIGNIFICANT"
"CLOMIPRAMINE","FLUVOXAMINE MALEATE","SIGNIFICANT"
"CLOMIPRAMINE","LINEZOLID","SIGNIFICANT"
"CLOMIPRAMINE","RIFABUTIN","SIGNIFICANT"
"CLOMIPRAMINE","RIFAMPIN","SIGNIFICANT"
"CLOMIPRAMINE","RIFAPENTINE","SIGNIFICANT"
"CLOMIPRAMINE","SELEGILINE","SIGNIFICANT"
"CLOMIPRAMINE","YOHIMBINE HYDROCHLORIDE","SIGNIFICANT"
"CLONAZEPAM","CLOZAPINE","SIGNIFICANT"
"CLONAZEPAM","RITONAVIR","SIGNIFICANT"
"CLONIDINE","EPHEDRA","SIGNIFICANT"
"CLONIDINE","METOPROLOL","SIGNIFICANT"
"CLONIDINE","MIRTAZAPINE","SIGNIFICANT"
"CLONIDINE","NADOLOL","SIGNIFICANT"
"CLONIDINE","PENBUTOLOL","SIGNIFICANT"
"CLONIDINE","PINDOLOL","SIGNIFICANT"
"CLONIDINE","PROPRANOLOL","SIGNIFICANT"
"CLONIDINE","TIMOLOL","SIGNIFICANT"
"CLOPIDOGREL BISULFATE","WARFARIN","SIGNIFICANT"
"CLORAZEPATE","CLOZAPINE","SIGNIFICANT"
"CLORAZEPATE","RITONAVIR","SIGNIFICANT"
"CLOTRIMAZOLE","TACROLIMUS","SIGNIFICANT"
"CLOZAPINE","DIAZEPAM","SIGNIFICANT"
"CLOZAPINE","ERYTHROMYCIN","SIGNIFICANT"
"CLOZAPINE","ESTAZOLAM","SIGNIFICANT"
"CLOZAPINE","FLURAZEPAM","SIGNIFICANT"
"CLOZAPINE","FLUVOXAMINE MALEATE","SIGNIFICANT"
"CLOZAPINE","FOSAMPRENAVIR","SIGNIFICANT"
"CLOZAPINE","HALAZEPAM","SIGNIFICANT"
"CLOZAPINE","LORAZEPAM","SIGNIFICANT"
"CLOZAPINE","MEPERIDINE","SIGNIFICANT"
"CLOZAPINE","MIDAZOLAM","SIGNIFICANT"
"CLOZAPINE","OXAZEPAM","SIGNIFICANT"
"CLOZAPINE","PRAZEPAM","SIGNIFICANT"
"CLOZAPINE","QUAZEPAM","SIGNIFICANT"
"CLOZAPINE","RIFAMPIN","SIGNIFICANT"
"CLOZAPINE","RITONAVIR","SIGNIFICANT"
"CLOZAPINE","TEMAZEPAM","SIGNIFICANT"
"CLOZAPINE","TRIAZOLAM","SIGNIFICANT"
"CODEINE","FLUOXETINE","SIGNIFICANT"
"PENTAZOCINE","CODEINE","SIGNIFICANT"
"CORTISONE","RIFABUTIN","SIGNIFICANT"
"CORTISONE","RIFAMPIN","SIGNIFICANT"
"RIFAPENTINE","CORTISONE","SIGNIFICANT"
"CYANOCOBALAMIN","ESOMEPRAZOLE","SIGNIFICANT"
"CYANOCOBALAMIN","LANSOPRAZOLE","SIGNIFICANT"
"CYANOCOBALAMIN","OMEPRAZOLE","SIGNIFICANT"
"CYANOCOBALAMIN","PANTOPRAZOLE","SIGNIFICANT"
"CYANOCOBALAMIN","RABEPRAZOLE NA","SIGNIFICANT"
"CYCLOBENZAPRINE","FLUOXETINE","SIGNIFICANT"
"CYCLOBENZAPRINE","PAROXETINE","SIGNIFICANT"
"CYCLOBENZAPRINE","PHENELZINE","SIGNIFICANT"
"CYCLOBENZAPRINE","TRANYLCYPROMINE","SIGNIFICANT"
"CYCLOPHOSPHAMIDE","FLUCONAZOLE","SIGNIFICANT"
"CYCLOPHOSPHAMIDE","ITRACONAZOLE","SIGNIFICANT"
"CYCLOSPORINE","DANAZOL","SIGNIFICANT"
"CYCLOSPORINE","DARUNAVIR","SIGNIFICANT"
"CYCLOSPORINE","DICLOFENAC","SIGNIFICANT"
"CYCLOSPORINE","DIGITALIS","SIGNIFICANT"
"CYCLOSPORINE","EZETIMIBE","SIGNIFICANT"
"CYCLOSPORINE","FLUOXETINE","SIGNIFICANT"
"CYCLOSPORINE","FLUVOXAMINE MALEATE","SIGNIFICANT"
"GRAPEFRUIT EXTRACT","CYCLOSPORINE","SIGNIFICANT"
"CYCLOSPORINE","KETOCONAZOLE","SIGNIFICANT"
"CYCLOSPORINE","METHOTREXATE","SIGNIFICANT"
"CYCLOSPORINE","METHYLTESTOSTERONE","SIGNIFICANT"
"CYCLOSPORINE","METOCLOPRAMIDE","SIGNIFICANT"
"CYCLOSPORINE","MICAFUNGIN NA","SIGNIFICANT"
"CYCLOSPORINE","NAFCILLIN","SIGNIFICANT"
"NANDROLONE","CYCLOSPORINE","SIGNIFICANT"
"CYCLOSPORINE","NEFAZODONE","SIGNIFICANT"
"CYCLOSPORINE","NICARDIPINE","SIGNIFICANT"
"CYCLOSPORINE","OCTREOTIDE","SIGNIFICANT"
"CYCLOSPORINE","PHENOBARBITAL","SIGNIFICANT"
"CYCLOSPORINE","PRAVASTATIN","SIGNIFICANT"
"QUINUPRISTIN","CYCLOSPORINE","SIGNIFICANT"
"CYCLOSPORINE","SAQUINAVIR","SIGNIFICANT"
"CYCLOSPORINE","STANOZOLOL","SIGNIFICANT"
"CYCLOSPORINE","TACROLIMUS","SIGNIFICANT"
"CYCLOSPORINE","TESTOSTERONE","SIGNIFICANT"
"CYCLOSPORINE","TICLOPIDINE","SIGNIFICANT"
"CYCLOSPORINE","TRIMETHOPRIM","SIGNIFICANT"
"CYPROHEPTADINE","FLUOXETINE","SIGNIFICANT"
"CYPROHEPTADINE","PAROXETINE","SIGNIFICANT"
"CYPROHEPTADINE","SERTRALINE","SIGNIFICANT"
"DANAZOL","SIMVASTATIN","SIGNIFICANT"
"DANAZOL","TACROLIMUS","SIGNIFICANT"
"DANAZOL","WARFARIN","SIGNIFICANT"
"DANSHEN","DICUMAROL","SIGNIFICANT"
"DANSHEN","PHENPROCOUMON","SIGNIFICANT"
"DANSHEN","WARFARIN","SIGNIFICANT"
"DAPSONE","RIFAMPIN","SIGNIFICANT"
"DARIFENACIN","DESIPRAMINE","SIGNIFICANT"
"DARIFENACIN","DIGITALIS","SIGNIFICANT"
"DARIFENACIN","FLECAINIDE","SIGNIFICANT"
"DARIFENACIN","IMIPRAMINE","SIGNIFICANT"
"DARIFENACIN","ITRACONAZOLE","SIGNIFICANT"
"DARIFENACIN","KETOCONAZOLE","SIGNIFICANT"
"DARIFENACIN","NEFAZODONE","SIGNIFICANT"
"DARIFENACIN","NELFINAVIR MESYLATE","SIGNIFICANT"
"DARIFENACIN","RITONAVIR","SIGNIFICANT"
"DARIFENACIN","THIORIDAZINE","SIGNIFICANT"
"DARUNAVIR","HYPERICUM PERFORATUM (ST. JOHN'S WORT)","SIGNIFICANT"
"DARUNAVIR","PHENOBARBITAL","SIGNIFICANT"
"DARUNAVIR","PHENYTOIN","SIGNIFICANT"
"DARUNAVIR","SILDENAFIL CITRATE","SIGNIFICANT"
"DARUNAVIR","SIROLIMUS","SIGNIFICANT"
"DARUNAVIR","TACROLIMUS","SIGNIFICANT"
"DARUNAVIR","TADALAFIL","SIGNIFICANT"
"DARUNAVIR","VARDENAFIL","SIGNIFICANT"
"DARUNAVIR","WARFARIN","SIGNIFICANT"
"DASATINIB","HYPERICUM PERFORATUM (ST. JOHN'S WORT)","SIGNIFICANT"
"DASATINIB","LANSOPRAZOLE","SIGNIFICANT"
"DASATINIB","OMEPRAZOLE","SIGNIFICANT"
"DASATINIB","RABEPRAZOLE NA","SIGNIFICANT"
"DASATINIB","RANITIDINE","SIGNIFICANT"
"DELAVIRDINE MESYLATE","ERYTHROMYCIN","SIGNIFICANT"
"DELAVIRDINE MESYLATE","FOSAMPRENAVIR","SIGNIFICANT"
"DELAVIRDINE MESYLATE","HYPERICUM PERFORATUM (ST. JOHN'S WORT)","SIGNIFICANT"
"DELAVIRDINE MESYLATE","QUINIDINE","SIGNIFICANT"
"DELAVIRDINE MESYLATE","SILDENAFIL CITRATE","SIGNIFICANT"
